snapped_at,price,market_cap,total_volume,hash_rate
2013-07-05 00:00:00 UTC,78.4800,892405890.0000,0.0000,174996518877481
2013-07-06 00:00:00 UTC,67.8090,771368060.0000,0.0000,197268803098251
2013-07-07 00:00:00 UTC,68.0831,774804401.0000,0.0000,198329388061145
2013-07-08 00:00:00 UTC,77.5020,882356395.0000,0.0000,197268803098251
2013-07-09 00:00:00 UTC,76.3915,870081997.0000,0.0000,203632312875614
2013-07-10 00:00:00 UTC,77.0000,877378425.0000,0.0000,196208218135358
2013-07-11 00:00:00 UTC,85.7500,977479256.0000,0.0000,206814067764296
2013-07-12 00:00:00 UTC,93.8040,1069724400.0000,0.0000,226298067180983
2013-07-13 00:00:00 UTC,88.0622,1004551934.0000,0.0000,200286795091215
2013-07-14 00:00:00 UTC,95.5800,1090715949.0000,0.0000,204188485904680
2013-07-15 00:00:00 UTC,94.0000,1073073450.0000,0.0000,223696939972006
2013-07-16 00:00:00 UTC,97.3010,1111179853.0000,0.0000,213292431136099
2013-07-17 00:00:00 UTC,98.9796,1130735527.0000,0.0000,213292431136099
2013-07-18 00:00:00 UTC,97.8000,1117707300.0000,0.0000,239303703225867
2013-07-19 00:00:00 UTC,88.7869,1015062893.0000,0.0000,209390740322634
2013-07-20 00:00:00 UTC,91.5720,1047311253.0000,0.0000,222396376367518
2013-07-21 00:00:00 UTC,89.2800,1021492656.0000,0.0000,241904830434844
2013-07-22 00:00:00 UTC,90.3672,1034399451.0000,0.0000,258812157293193
2013-07-23 00:00:00 UTC,91.7024,1050054379.0000,0.0000,214592994740587
2013-07-24 00:00:00 UTC,94.5806,1083333286.0000,0.0000,219084664328419
2013-07-25 00:00:00 UTC,94.5250,1083076902.0000,0.0000,247052919349068
2013-07-26 00:00:00 UTC,96.9499,1111232483.0000,0.0000,226853624056377
2013-07-27 00:00:00 UTC,94.1300,1079278107.0000,0.0000,254821879077026
2013-07-28 00:00:00 UTC,94.0050,1078286703.0000,0.0000,281236342152084
2013-07-29 00:00:00 UTC,98.5759,1131111629.0000,0.0000,261037046859392
